wall_time,frame_id,f0,intensity_db,rhythm_db_std,rms,voiced_ratio,dF0,dI,dR,role,raw_role,gaze,gaze_ratio_role_window,gaze_threshold,gaze_valid_sec,gaze_engaged_by_role,gaze_role_score,gaze_score_for_fusion,torso_position,feet_pointing,crossed_arms,sleepy_eyes,smile,eyebrow_raise,visual_ok,visual_age,http_status,api_latency,p_t,v_t,r_t,s_t,engagement_raw,engagement
1787650769.4,827,204.94078690349608,60.348712180932004,10.733292249762362,0.03846679356427843,0.7216494845360825,-0.138280185984359,2.0319789852764125,-1.1675096438258512,speaker,speaker,camera,1.0,0.3,1.6954553127288818,True,1.0,0.55,towards,not_visible,no,no,yes,no,True,0.2148582935333252,200,0.3743109703063965,0.9942174949177988,0.1409090909090909,1.0,0.3969016121117033,0.3685202200985369,0.335930153794614
1787650769.736,837,193.65907376715083,39.200425381668516,29.114135119594266,0.02825038886817987,0.4742268041237113,-0.19360972926635797,-0.10316948450270047,0.6822497395955978,speaker,speaker,camera,1.0,0.3,2.0321037769317627,True,1.0,0.55,towards,not_visible,no,no,yes,no,True,0.18355751037597656,200,0.3679492473602295,0.42361912078837727,0.1409090909090909,0.9922680412371134,0.22572209987287678,0.38448315414751905,0.355351353935776
1787650770.072,847,173.9944216337011,23.829345438484914,25.234311501241255,0.014380333320562915,0.17525773195876287,-0.2989239941353964,-1.639245783976034,0.2874448803643407,speaker,listener,camera,1.0,0.3,2.368201494216919,True,1.0,0.55,towards,not_visible,no,no,yes,no,True,0.16588664054870605,200,0.35376858711242676,-0.9894677018945246,0.1409090909090909,0.9025773195876288,-0.19820394693199372,0.3722426661131812,0.36210787880673806
1787650770.424,858,nan,0.0,0.0,0.002317898986278788,0.0,0.0,-4.005787869984766,-2.238860718563428,speaker,listener,camera,1.0,0.3,2.720125675201416,True,1.0,0.55,towards,not_visible,no,no,yes,no,True,0.15035772323608398,200,0.36745309829711914,0.0,0.1409090909090909,1.0,0.09863636363636362,0.3807722232585103,0.369573616587447
1787650770.759,868,190.03193537275024,45.06600512577627,15.131798440351371,0.020615316024386432,0.17525773195876287,-0.20816790866165466,0.5008126425928616,-0.725680874528291,speaker,listener,camera,1.0,0.3,3.055124282836914,True,1.0,0.55,towards,not_visible,no,no,yes,no,True,0.11839652061462402,200,0.366959810256958,0.06932554368814202,0.1409090909090909,0.9025773195876288,0.11943402674280623,0.3897369390052231,0.37763894555455746
1787650771.096,878,187.61527040820036,55.205447202581134,14.921789043571172,0.03850925165714649,0.4845360824742268,-0.2190855541442378,1.5097487238474194,-0.7394250054610281,speaker,speaker,camera,1.0,0.3,3.3922014236450195,True,1.0,0.55,towards,not_visible,no,no,yes,no,True,0.10165524482727051,200,0.353818416595459,0.8736867528734376,0.1409090909090909,0.9953608247422681,0.3607423894983949,0.41373169705942514,0.3920760461565045
1787650771.432,888,183.07272580043386,62.817843002238426,9.874020727758793,0.0457731574235999,0.6804123711340206,-0.24162609531906576,2.255890816574675,-1.2368075869876556,speaker,speaker,camera,1.0,0.3,3.7282023429870605,True,1.0,0.55,towards,not_visible,no,no,yes,no,True,0.0765984058380127,200,0.36105775833129883,1.1834411487266796,0.1409090909090909,1.0,0.4536687082543675,0.44343481286818864,0.4126195528411781
1787650771.768,898,178.21442571316172,56.77460258735239,13.31315635694404,0.04102498314496251,0.4742268041237113,-0.2663733043243888,1.6290078669203247,-0.8805259481992541,speaker,speaker,camera,1.0,0.3,4.063596248626709,True,1.0,0.55,towards,not_visible,no,no,yes,no,True,0.059619903564453125,200,0.352372407913208,0.9080773767789018,0.1409090909090909,0.9922680412371134,0.37105957667003414,0.46754814838398473,0.4345909910583008
1787650772.105,908,237.0398337851091,52.599163834325815,15.446393507579511,0.05367937000602039,0.29896907216494845,0.02120864003389993,1.1951739129484635,-0.6583969736537142,speaker,speaker,camera,1.0,0.3,4.400233507156372,True,1.0,0.55,towards,not_visible,no,no,yes,no,True,0.03398418426513672,200,0.3622729778289795,0.5717052661834924,0.1409090909090909,0.9396907216494845,0.2701479434914113,0.48411976654509137,0.454402501253017
1787650772.44,918,385.07746332424716,58.39251655967723,15.633611724902519,0.0863400605986717,0.38144329896907214,0.5062106253992963,1.7625574463541214,-0.6330911821848766,speaker,speaker,camera,1.0,0.3,4.735676050186157,True,1.0,0.55,towards,not_visible,no,no,yes,no,True,0.006002664566040039,200,0.36342406272888184,1.2832965604720195,0.1409090909090909,0.9644329896907216,0.48362533177796946,0.5136277592065714,0.4780926044344388
1787650772.793,929,389.8339983511264,68.24575249895521,11.215372701319717,0.10173062419501024,0.7010309278350515,0.5119188025424672,2.730255465818378,-1.068584172721308,speaker,speaker,camera,1.0,0.3,5.088294982910156,True,1.0,0.55,towards,not_visible,no,no,yes,no,True,0.35862159729003906,200,0.36342406272888184,1.7990132702931514,0.1409090909090909,1.0,0.638340344724309,0.5530139878801686,0.5080611578127308
1787650773.128,939,401.746706721731,69.15244101006066,9.362134890771232,0.0984230428306245,0.7319587628865979,0.5353569550231779,2.793621762270739,-1.2432221120489433,speaker,speaker,camera,1.0,0.3,5.073307275772095,True,1.0,0.55,towards,not_visible,no,no,yes,no,True,0.3355545997619629,200,0.3576204776763916,1.7566426200988141,0.1409090909090909,1.0,0.6256291496660078,0.5901034025696027,0.5408780557154795
1787650773.465,949,386.1414532465219,64.5485390944133,13.048688869727519,0.07815940340841973,0.6597938144329897,0.48868328065460315,2.305295353083296,-0.8621344930328254,speaker,speaker,camera,1.0,0.3,5.072339296340942,True,1.0,0.55,towards,not_visible,no,no,yes,no,True,0.3040578365325928,200,0.36799120903015137,1.5712972269742431,0.1409090909090909,1.0,0.5700255317286366,0.6221398431167603,0.5733827706759919
1787650773.8,959,317.12853030124035,64.59808754265865,13.49514614627475,0.08956866989379457,0.6391752577319587,0.28550475902274897,2.2871972443769977,-0.8088674204477739,speaker,speaker,camera,1.0,0.3,5.072242259979248,True,1.0,0.55,towards,not_visible,no,no,yes,no,True,0.24300694465637207,200,0.3965132236480713,1.4871897227443085,0.1409090909090909,1.0,0.5447932804596561,0.6510530111922687,0.6044508668825026
1787650774.136,969,361.50368778548886,69.5156032430068,9.36176850482118,0.09247572345396124,0.7628865979381443,0.41317096470663633,2.756076841968042,-1.2141165103886533,speaker,speaker,camera,1.0,0.3,5.072490215301514,True,1.0,0.55,towards,not_visible,no,no,yes,no,True,0.22552943229675293,200,0.3528783321380615,1.6829770496945597,0.14043837518067173,1.0,0.603199977534838,0.6815027728583355,0.6352716292728358
1787650774.473,979,353.26078926649075,57.60409878635684,21.889627263598506,0.08334609239619503,0.5670103092783505,0.38500229393511504,1.5373656278833665,0.05081053059296572,speaker,speaker,camera,1.0,0.3,5.072939157485962,True,1.0,0.55,towards,not_visible,no,no,yes,no,True,0.1845080852508545,200,0.37770628929138184,1.4528799676300304,0.1385181363138985,1.0,0.532826685708738,0.7062729981080855,0.6636721768069356
